,name,start
1167,День Независимости Украины,2001-08-19 00:00:00
1174,Летний лагерь знатоков в Баварии (Хоббах),2001-08-23 00:00:00
1165,Братская могила,2001-09-02 00:00:00
1200,Открытый чемпионат Баку,2001-09-08 00:00:00
1172,Великолукская осень,2001-09-15 00:00:00
1177,Чемпионат Полтавской области,2001-09-15 00:00:00
1181,Чемпионат Республики Татарстан,2001-10-05 00:00:00
1399,Чемпионат Херсона,2001-10-06 00:00:00
1179,Турнир в Кёльне,2001-10-05 00:00:00
1187,Кубок губернатора СПб. Отбор команд СПб,2001-10-06 00:00:00
1188,Кубок губернатора СПб. Финал,2001-10-14 00:00:00
1190,Золотой Дрейдл,2001-10-21 00:00:00
1191,Кубок УралВагонЗавода,2001-10-27 00:00:00
1178,Открытый кубок Мордовии,2001-10-27 00:00:00
1192,Чемпионат Украины,2001-10-26 00:00:00
1193,Чемпионат Украины. Вне зачёта,2001-10-26 00:00:00
1194,Кубок Губернатора,2001-10-27 00:00:00
1196,Нестерка,2001-10-26 00:00:00
1207,Саранск - Минск,2001-10-28 00:00:00
1195,Гостиный двор,2001-11-03 00:00:00
1208,Всемирный потоп,2001-11-10 00:00:00
1203,Открытый чемпионат Самары,2001-11-10 00:00:00
1267,Самара - Могилёв,2001-11-11 00:00:00
1212,Кубок Киборга,2001-11-25 00:00:00
1241,Беловежская зима,2001-12-01 00:00:00
1216,Открытый кубок России,2001-12-02 00:00:00
1209,Турнир в Днепропетровске,2001-12-08 00:00:00
1217,Открытый чемпионат Зеленограда. Взрослые команды,2001-12-09 00:00:00
1219,Открытый чемпионат Зеленограда. Финал,2001-12-09 00:00:00
1220,Чемпионат Тель-Авива,2001-01-30 00:00:00
1215,Симбирск Опен,2001-12-15 00:00:00
1223,Чемпионат Армении,2001-12-23 00:00:00
1236,Кубок Самарской Лиги знатоков,2001-12-23 00:00:00
1251,Чемпионат Баку,2001-10-07 00:00:00
1225,Чемпионат Хайфы,2001-01-20 00:00:00
1226,Кубок Хайфы,2002-01-06 00:00:00
1239,Бахмут - XXI век,2002-01-04 00:00:00
1229,Открытый чемпионат Курска,2002-01-05 00:00:00
1227,Турнир в Баку,2002-01-10 00:00:00
1228,Открытый чемпионат на призы мэра Казани,2002-01-26 00:00:00
1232,Кубок Физтеха. Общий зачёт,2002-01-26 00:00:00
1233,Крещенские морозы,2002-01-26 00:00:00
1224,Чемпионат России,2002-02-01 00:00:00
1237,Турнир в Кёльне,2002-02-03 00:00:00
1242,Чемпионат Беларуси,2002-02-09 00:00:00
1234,Чемпионат США,2002-02-16 00:00:00
1240,Кубок Губернатора,2002-02-23 00:00:00
1250,Жаркая зима,2002-02-23 00:00:00
1252,Чемпионат Баку,2002-01-05 00:00:00
1248,Каменный цветок,2002-03-09 00:00:00
1256,КРИТериум,2002-03-15 00:00:00
1258,Мартовский лев,2002-03-16 00:00:00
1253,Турнир в Кёльне,2002-03-25 00:00:00
1255,Кубок городов,2002-03-31 00:00:00
1259,Кубок княгини Ольги,2002-04-06 00:00:00
1314,Поволжская лига,2001-12-09 00:00:00
1288,Чемпионат Харькова. Первая лига,2001-10-08 00:00:00
1279,Чемпионат Республики Татарстан,2002-04-13 00:00:00
1282,Чемпионат Ростова-на-Дону,2001-11-12 00:00:00
1287,Чемпионат Харькова. Высшая лига,2001-10-07 00:00:00
1281,Гран-при МГУ,2001-10-01 00:00:00
1291,Чемпионат Москвы. Вторая лига. Дивизион МГУ,2001-10-01 00:00:00
1349,Урало-Сибирская лига,2001-10-29 00:00:00
1284,Чемпионат Ашхабада,2001-11-08 00:00:00
1289,Чемпионат Харькова. Вторая лига,2001-10-22 00:00:00
1285,Чемпионат Крыма,2001-11-24 00:00:00
1290,Синхронный турнир ЛУК,2001-11-24 00:00:00
1274,Чемпионат Новосибирска,2001-10-07 00:00:00
1295,Чемпионат Санкт-Петербурга. Высшая лига,2002-02-17 00:00:00
1296,Чемпионат Санкт-Петербурга. Первая лига,2002-02-17 00:00:00
1260,Открытый чемпионат Саратова,2002-05-01 00:00:00
1262,Одессея,2002-05-02 00:00:00
1270,Чемпионат Израиля,2002-05-04 00:00:00
1261,Турнир в Кёльне,2002-05-05 00:00:00
1266,Весна в УПИ,2002-05-05 00:00:00
1304,Чемпионат Азербайджана,2002-05-04 00:00:00
1264,"Турнир, посвящённый десятилетию МУБК",2002-05-09 00:00:00
1356,Кубок Полесья. Элитарный клуб,2002-05-11 00:00:00
1275,"Чемпионат клуба ""От Винта!""",2001-09-23 00:00:00
1265,Коломенская весна,2002-03-23 00:00:00
1305,Чемпионат Гомеля,2001-09-16 00:00:00
1205,Чемпионат Витебска,2001-10-06 00:00:00
1272,Чемпионат Минска. Высшая лига,2001-10-07 00:00:00
1273,Чемпионат Минска. Первая лига,2001-10-07 00:00:00
